row_id,order_id,created_at,item_name,item_cat,item_size,item_price,quantity,cust_firstname,cust_lastname,delivery,delivery_address1,delivery_address2,delivery_city,delivery_postcode
1,1504,01/01/2025 03:17,Garlic Bread,Sides,N/A,6,2,Guy,Wolf,TRUE,005 Green Locks,Apt. 383,Philadelphia,19111
2,1504,01/01/2025 03:17,Chocolate Brownie,Desserts,N/A,5,4,Guy,Wolf,TRUE,005 Green Locks,Apt. 383,Philadelphia,19111
3,1771,01/01/2025 04:19,Margherita,Special Pizza,Large,15,5,Heather,Taylor,TRUE,5644 Hoover Avenue Apt. 213,Suite 832,New York,10003
4,1771,01/01/2025 04:19,Chocolate Brownie,Desserts,N/A,5,3,Heather,Taylor,TRUE,5644 Hoover Avenue Apt. 213,Suite 832,New York,10003
5,1771,01/01/2025 04:19,Garlic Bread,Sides,N/A,6,2,Heather,Taylor,TRUE,5644 Hoover Avenue Apt. 213,Suite 832,New York,10003
6,1771,01/01/2025 04:19,Coca Cola,Beverages,33CL,3,1,Heather,Taylor,TRUE,5644 Hoover Avenue Apt. 213,Suite 832,New York,10003
7,1771,01/01/2025 04:19,Garlic Bread,Sides,N/A,6,3,Heather,Taylor,TRUE,5644 Hoover Avenue Apt. 213,Suite 832,New York,10003
8,1506,01/01/2025 05:43,Garlic Bread,Sides,N/A,6,1,Nicholas,Sanders,FALSE,34396 Frank Ford Apt. 258,Suite 836,Philadelphia,19111
9,1506,01/01/2025 05:43,Garlic Bread,Sides,N/A,6,1,Nicholas,Sanders,FALSE,34396 Frank Ford Apt. 258,Suite 836,Philadelphia,19111
10,1506,01/01/2025 05:43,Pepperoni,Signature Pizza,Regular,15,4,Nicholas,Sanders,FALSE,34396 Frank Ford Apt. 258,Suite 836,Philadelphia,19111
11,1506,01/01/2025 05:43,Coca Cola,Beverages,1.5L,6,4,Nicholas,Sanders,FALSE,34396 Frank Ford Apt. 258,Suite 836,Philadelphia,19111
12,1506,01/01/2025 05:43,Chocolate Brownie,Desserts,N/A,5,1,Nicholas,Sanders,FALSE,34396 Frank Ford Apt. 258,Suite 836,Philadelphia,19111
13,1503,01/01/2025 05:48,Garlic Bread,Sides,N/A,6,5,Bryan,Steele,TRUE,6893 Derrick Ports Apt. 688,Apt. 307,New York,10003
