row_id,order_id,created_at,item_name,item_cat,item_size,item_price,quantity,cust_firstname,cust_lastname,delivery,delivery_address1,delivery_address2,delivery_city,delivery_postcode,total_price,Order_total
1,1504,01/01/2025 03:17,Garlic Bread,Sides,,6,2,Guy,Wolf,TRUE,005 Green Locks,Apt. 383,Philadelphia,19111,12,32
2,1504,01/01/2025 03:17,Chocolate Brownie,Desserts,,5,4,Guy,Wolf,TRUE,005 Green Locks,Apt. 383,Philadelphia,19111,20,32
3,1771,01/01/2025 04:19,Margherita,Special Pizza,Large,15,5,Heather,Taylor,TRUE,5644 Hoover Avenue Apt. 213,Suite 832,New York,10003,75,123
4,1771,01/01/2025 04:19,Chocolate Brownie,Desserts,,5,3,Heather,Taylor,TRUE,5644 Hoover Avenue Apt. 213,Suite 832,New York,10003,15,123
5,1771,01/01/2025 04:19,Garlic Bread,Sides,,6,2,Heather,Taylor,TRUE,5644 Hoover Avenue Apt. 213,Suite 832,New York,10003,12,123
6,1771,01/01/2025 04:19,Coca Cola,Beverages,33CL,3,1,Heather,Taylor,TRUE,5644 Hoover Avenue Apt. 213,Suite 832,New York,10003,3,123
7,1771,01/01/2025 04:19,Garlic Bread,Sides,,6,3,Heather,Taylor,TRUE,5644 Hoover Avenue Apt. 213,Suite 832,New York,10003,18,123
8,1506,01/01/2025 05:43,Garlic Bread,Sides,,6,1,Nicholas,Sanders,FALSE,34396 Frank Ford Apt. 258,Suite 836,Philadelphia,19111,6,101
9,1506,01/01/2025 05:43,Garlic Bread,Sides,,6,1,Nicholas,Sanders,FALSE,34396 Frank Ford Apt. 258,Suite 836,Philadelphia,19111,6,101
10,1506,01/01/2025 05:43,Pepperoni,Signature Pizza,Regular,15,4,Nicholas,Sanders,FALSE,34396 Frank Ford Apt. 258,Suite 836,Philadelphia,19111,60,101
11,1506,01/01/2025 05:43,Coca Cola,Beverages,1.5L,6,4,Nicholas,Sanders,FALSE,34396 Frank Ford Apt. 258,Suite 836,Philadelphia,19111,24,101
12,1506,01/01/2025 05:43,Chocolate Brownie,Desserts,,5,1,Nicholas,Sanders,FALSE,34396 Frank Ford Apt. 258,Suite 836,Philadelphia,19111,5,101
13,1503,01/01/2025 05:48,Garlic Bread,Sides,,6,5,Bryan,Steele,TRUE,6893 Derrick Ports Apt. 688,Apt. 307,New York,10003,30,154
14,1503,01/01/2025 05:48,Margherita,Special Pizza,Large,15,5,Bryan,Steele,TRUE,6893 Derrick Ports Apt. 688,Apt. 307,New York,10003,75,154
15,1503,01/01/2025 05:48,Chocolate Brownie,Desserts,,5,5,Bryan,Steele,TRUE,6893 Derrick Ports Apt. 688,Apt. 307,New York,10003,25,154
16,1503,01/01/2025 05:48,Coca Cola,Beverages,33CL,3,3,Bryan,Steele,TRUE,6893 Derrick Ports Apt. 688,Apt. 307,New York,10003,9,154
17,1503,01/01/2025 05:48,Pepperoni,Signature Pizza,Regular,15,1,Bryan,Steele,TRUE,6893 Derrick Ports Apt. 688,Apt. 307,New York,10003,15,154
18,1317,01/01/2025 06:48,Chocolate Brownie,Desserts,,5,4,Derrick,Brown,TRUE,5233 David Place,Suite 961,New York,10004,20,107
19,1317,01/01/2025 06:48,Pepperoni,Signature Pizza,Regular,15,5,Derrick,Brown,TRUE,5233 David Place,Suite 961,New York,10004,75,107
20,1317,01/01/2025 06:48,Coca Cola,Beverages,1.5L,6,1,Derrick,Brown,TRUE,5233 David Place,Suite 961,New York,10004,6,107
21,1317,01/01/2025 06:48,Coca Cola,Beverages,1.5L,6,1,Derrick,Brown,TRUE,5233 David Place,Suite 961,New York,10004,6,107
22,1093,01/01/2025 07:37,Garlic Bread,Sides,,6,4,Joshua,Perez,TRUE,77973 Miller Via Apt. 608,Apt. 101,New York,10002,24,200
23,1093,01/01/2025 07:37,Chocolate Brownie,Desserts,,5,4,Joshua,Perez,TRUE,77973 Miller Via Apt. 608,Apt. 101,New York,10002,20,200
24,1093,01/01/2025 07:37,Garlic Bread,Sides,,6,1,Joshua,Perez,TRUE,77973 Miller Via Apt. 608,Apt. 101,New York,10002,6,200
25,1093,01/01/2025 07:37,Pepperoni,Signature Pizza,Regular,15,5,Joshua,Perez,TRUE,77973 Miller Via Apt. 608,Apt. 101,New York,10002,75,200
26,1093,01/01/2025 07:37,Pepperoni,Signature Pizza,Regular,15,5,Joshua,Perez,TRUE,77973 Miller Via Apt. 608,Apt. 101,New York,10002,75,200
27,1490,01/01/2025 08:00,Coca Cola,Beverages,33CL,3,5,Christina,Jones,TRUE,01067 Davis Haven Suite 705,Apt. 851,Philadelphia,19114,15,15
28,1199,01/01/2025 08:12,Chocolate Brownie,Desserts,,5,5,Denise,Ramirez,FALSE,4673 Victoria Port,Suite 270,New York,10004,25,145
29,1199,01/01/2025 08:12,Margherita,Special Pizza,Regular,13,3,Denise,Ramirez,FALSE,4673 Victoria Port,Suite 270,New York,10004,39,145
30,1199,01/01/2025 08:12,Margherita,Special Pizza,Regular,13,5,Denise,Ramirez,FALSE,4673 Victoria Port,Suite 270,New York,10004,65,145
31,1199,01/01/2025 08:12,Coca Cola,Beverages,1.5L,6,1,Denise,Ramirez,FALSE,4673 Victoria Port,Suite 270,New York,10004,6,145
32,1199,01/01/2025 08:12,Chocolate Brownie,Desserts,,5,2,Denise,Ramirez,FALSE,4673 Victoria Port,Suite 270,New York,10004,10,145
33,1294,01/01/2025 08:44,Garlic Bread,Sides,,6,1,Nathan,Hansen,FALSE,,,Philadelphia,19114,6,6
34,1159,01/01/2025 10:35,Pepperoni,Signature Pizza,Regular,15,5,Walter,Henry,TRUE,1632 Wu Pines Apt. 101,Suite 739,New York,10007,75,75
35,1896,01/01/2025 11:30,Margherita,Special Pizza,Regular,13,1,Justin,Johnston,TRUE,0889 Christopher Center Suite 235,Suite 588,Philadelphia,19106,13,25
36,1896,01/01/2025 11:30,Garlic Bread,Sides,,6,2,Justin,Johnston,TRUE,0889 Christopher Center Suite 235,Suite 588,Philadelphia,19106,12,25
37,1575,01/01/2025 11:30,Margherita,Special Pizza,Large,15,2,Kelly,Jenkins,TRUE,322 Cox Isle Suite 861,Apt. 544,New York,10007,30,30
38,1858,01/01/2025 12:27,Chocolate Brownie,Desserts,,5,5,Matthew,Reyes,FALSE,38274 Archer Place,Suite 477,Philadelphia,19102,25,81
39,1858,01/01/2025 12:27,Margherita,Special Pizza,Large,15,1,Matthew,Reyes,FALSE,38274 Archer Place,Suite 477,Philadelphia,19102,15,81
40,1858,01/01/2025 12:27,Garlic Bread,Sides,,6,4,Matthew,Reyes,FALSE,38274 Archer Place,Suite 477,Philadelphia,19102,24,81
41,1858,01/01/2025 12:27,Pepperoni,Signature Pizza,Large,17,1,Matthew,Reyes,FALSE,38274 Archer Place,Suite 477,Philadelphia,19102,17,81
42,1418,01/01/2025 12:40,Chocolate Brownie,Desserts,,5,4,Curtis,Clark,FALSE,5353 Christine Prairie,Suite 655,Philadelphia,19111,20,98
43,1418,01/01/2025 12:40,Garlic Bread,Sides,,6,5,Curtis,Clark,FALSE,5353 Christine Prairie,Suite 655,Philadelphia,19111,30,98
44,1418,01/01/2025 12:40,Coca Cola,Beverages,1.5L,6,3,Curtis,Clark,FALSE,5353 Christine Prairie,Suite 655,Philadelphia,19111,18,98
45,1418,01/01/2025 12:40,Coca Cola,Beverages,33CL,3,4,Curtis,Clark,FALSE,5353 Christine Prairie,Suite 655,Philadelphia,,12,98
46,1418,01/01/2025 12:40,Coca Cola,Beverages,1.5L,6,3,Curtis,Clark,FALSE,5353 Christine Prairie,Suite 655,Philadelphia,19111,18,98
47,1948,01/01/2025 12:45,Pepperoni,Signature Pizza,Regular,15,3,Kimberly,Robertson,TRUE,524 Patel Trace,Apt. 879,Philadelphia,19104,45,45
48,1507,01/01/2025 12:55,Garlic Bread,Sides,,6,1,Ashley,Yoder,FALSE,873 Dominguez Turnpike Suite 774,Suite 005,New York,10004,6,70
49,1507,01/01/2025 12:55,Coca Cola,Beverages,33CL,3,5,Ashley,Yoder,FALSE,873 Dominguez Turnpike Suite 774,Suite 005,New York,10004,15,70
50,1507,01/01/2025 12:55,Pepperoni,Signature Pizza,Large,17,2,Ashley,Yoder,FALSE,873 Dominguez Turnpike Suite 774,Suite 005,New York,10004,34,70
51,1507,01/01/2025 12:55,Chocolate Brownie,Desserts,,5,3,Ashley,Yoder,FALSE,873 Dominguez Turnpike Suite 774,Suite 005,New York,10004,15,70
52,1681,01/01/2025 13:38,Coca Cola,Beverages,33CL,3,3,Virginia,Petersen,TRUE,5425 Randall Lodge Suite 866,Apt. 423,New York,10009,9,155
53,1681,01/01/2025 13:38,Pepperoni,Signature Pizza,Large,17,3,Virginia,Petersen,TRUE,5425 Randall Lodge Suite 866,Apt. 423,New York,10009,51,155
54,1681,01/01/2025 13:38,Pepperoni,Signature Pizza,Regular,15,5,Virginia,Petersen,TRUE,5425 Randall Lodge Suite 866,Apt. 423,New York,10009,75,155
55,1681,01/01/2025 13:38,Chocolate Brownie,Desserts,,5,4,Virginia,Petersen,TRUE,5425 Randall Lodge Suite 866,Apt. 423,New York,10009,20,155
56,1776,01/01/2025 14:41,Garlic Bread,Sides,,6,4,Sarah,Moore,FALSE,703 Spencer Hollow Suite 663,Suite 803,Philadelphia,19103,24,47
57,1776,01/01/2025 14:41,Pepperoni,Signature Pizza,Large,17,1,Sarah,Moore,FALSE,703 Spencer Hollow Suite 663,Suite 803,Philadelphia,19103,17,47
58,1776,01/01/2025 14:41,Garlic Bread,Sides,,6,1,Sarah,Moore,FALSE,703 Spencer Hollow Suite 663,Suite 803,Philadelphia,19103,6,47
59,1883,01/01/2025 15:01,Garlic Bread,Sides,,6,3,Courtney,Davis,TRUE,86201 Debra Glens,Apt. 645,New York,10006,18,18
60,1606,01/01/2025 15:22,Chocolate Brownie,Desserts,,5,4,Michael,Reilly,TRUE,5087 Benjamin Ways Apt. 133,Suite 206,Philadelphia,19107,20,140
61,1606,01/01/2025 15:22,Pepperoni,Signature Pizza,Regular,15,5,Michael,Reilly,TRUE,5087 Benjamin Ways Apt. 133,Suite 206,Philadelphia,19107,75,140
62,1606,01/01/2025 15:22,Chocolate Brownie,Desserts,,5,5,Michael,Reilly,TRUE,5087 Benjamin Ways Apt. 133,Suite 206,Philadelphia,19107,25,140
63,1606,01/01/2025 15:22,Chocolate Brownie,Desserts,,5,4,Michael,Reilly,TRUE,5087 Benjamin Ways Apt. 133,Suite 206,Philadelphia,19107,20,140
64,1287,01/01/2025 16:05,Coca Cola,,1.5L,6,3,Tara,Byrd,TRUE,9268 Powers Route,Apt. 268,New York,10005,18,39
65,1287,01/01/2025 16:05,Garlic Bread,Sides,,6,1,Tara,Byrd,TRUE,9268 Powers Route,Apt. 268,New York,10005,6,39
66,1287,01/01/2025 16:05,Margherita,Special Pizza,Large,15,1,Tara,Byrd,TRUE,9268 Powers Route,Apt. 268,New York,10005,15,39
